"ID","エリア","カテゴリ","収集日","lock_version","作成日時","更新日時"
1,3,1,2012-09-03,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
2,3,10,2012-09-04,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
3,3,2,2012-09-05,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
4,3,3,2012-09-05,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
5,3,10,2012-09-06,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
6,3,10,2012-09-07,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
7,3,1,2012-09-10,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
8,3,10,2012-09-11,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
9,3,10,2012-09-14,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
10,3,6,2012-09-15,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
11,3,1,2012-09-17,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
12,3,10,2012-09-18,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
13,3,4,2012-09-19,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
14,3,6,2012-09-20,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
15,3,10,2012-09-21,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
16,3,1,2012-09-24,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
17,3,10,2012-09-25,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
18,3,8,2012-09-27,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
19,3,10,2012-09-28,0,Mon Sep 03 23:42:09 +0900 2012,Mon Sep 03 23:42:09 +0900 2012
